Data,Competição,Hora,Minuto,Times,Ambos Marcam
29/11/2025,Euro Cup,15,38,Alemanha x Suíça,Não
29/11/2025,Euro Cup,15,41,Eslováquia x Dinamarca,Não
29/11/2025,Euro Cup,15,44,França x Geórgia,Não
29/11/2025,Euro Cup,15,47,Escócia x Itália,Sim
29/11/2025,Euro Cup,15,50,Portugal x Bélgica,Não
29/11/2025,Euro Cup,15,53,Sérvia x Eslovênia,Sim
29/11/2025,Euro Cup,15,56,França x Escócia,Não
29/11/2025,Euro Cup,15,59,Albânia x Croácia,Sim
29/11/2025,Euro Cup,16,2,Bélgica x Ucrânia,Sim
29/11/2025,Euro Cup,16,5,Áustria x República Tcheca,Sim
29/11/2025,Euro Cup,16,8,Turquia x Inglaterra,Sim
29/11/2025,Euro Cup,16,11,Bélgica x Países Baixos,Não
29/11/2025,Euro Cup,16,14,Suíça x Romênia,Sim
29/11/2025,Euro Cup,16,17,Portugal x Países Baixos,Não
29/11/2025,Euro Cup,16,20,Escócia x Polônia,Sim
29/11/2025,Euro Cup,16,23,Itália x Croácia,Não
29/11/2025,Euro Cup,16,26,Dinamarca x República Tcheca,Não
29/11/2025,Euro Cup,16,29,Geórgia x Itália,Sim
29/11/2025,Euro Cup,16,32,Países Baixos x Croácia,Não
29/11/2025,Euro Cup,11,2,Alemanha x Sérvia,Não
29/11/2025,Euro Cup,11,5,Albânia x Eslováquia,Não
29/11/2025,Euro Cup,11,8,Espanha x França,Sim
29/11/2025,Euro Cup,12,2,Inglaterra x Sérvia,Não
29/11/2025,Euro Cup,12,5,Itália x Alemanha,Sim
29/11/2025,Euro Cup,12,8,Bélgica x Eslovênia,Sim
29/11/2025,Euro Cup,13,2,Bélgica x Croácia,Não
29/11/2025,Euro Cup,13,5,Dinamarca x Escócia,Sim
29/11/2025,Euro Cup,13,8,Polônia x Eslovênia,Sim
29/11/2025,Euro Cup,14,2,Polônia x Países Baixos,Não
29/11/2025,Euro Cup,14,5,Ucrânia x Alemanha,Sim
29/11/2025,Euro Cup,14,8,Croácia x Eslovênia,Sim
29/11/2025,Euro Cup,15,2,Portugal x França,Sim
29/11/2025,Euro Cup,15,5,Alemanha x Países Baixos,Sim
29/11/2025,Euro Cup,15,8,Eslovênia x Albânia,Sim
29/11/2025,Euro Cup,16,2,Bélgica x Ucrânia,Sim
29/11/2025,Euro Cup,16,5,Áustria x República Tcheca,Sim
29/11/2025,Euro Cup,16,8,Turquia x Inglaterra,Sim
29/11/2025,Euro Cup,16,35,Escócia x Albânia,Sim
29/11/2025,Euro Cup,16,38,Ucrânia x Hungria,Não
29/11/2025,Euro Cup,16,41,República Tcheca x Alemanha,Não
29/11/2025,Euro Cup,11,2,Alemanha x Sérvia,Não
29/11/2025,Euro Cup,11,5,Albânia x Eslováquia,Não
29/11/2025,Euro Cup,11,8,Espanha x França,Sim
29/11/2025,Euro Cup,12,2,Inglaterra x Sérvia,Não
29/11/2025,Euro Cup,12,5,Itália x Alemanha,Sim
29/11/2025,Euro Cup,12,8,Bélgica x Eslovênia,Sim
29/11/2025,Euro Cup,13,2,Bélgica x Croácia,Não
29/11/2025,Euro Cup,13,5,Dinamarca x Escócia,Sim
29/11/2025,Euro Cup,13,8,Polônia x Eslovênia,Sim
29/11/2025,Euro Cup,14,2,Polônia x Países Baixos,Não
29/11/2025,Euro Cup,14,5,Ucrânia x Alemanha,Sim
29/11/2025,Euro Cup,14,8,Croácia x Eslovênia,Sim
29/11/2025,Euro Cup,15,2,Portugal x França,Sim
29/11/2025,Euro Cup,15,5,Alemanha x Países Baixos,Sim
29/11/2025,Euro Cup,15,8,Eslovênia x Albânia,Sim
29/11/2025,Euro Cup,16,2,Bélgica x Ucrânia,Sim
29/11/2025,Euro Cup,16,5,Áustria x República Tcheca,Sim
29/11/2025,Euro Cup,16,8,Turquia x Inglaterra,Sim
29/11/2025,Euro Cup,16,44,Sérvia x Espanha,Sim
29/11/2025,Euro Cup,16,47,Inglaterra x Alemanha,Não
29/11/2025,Euro Cup,11,2,Alemanha x Sérvia,Não
29/11/2025,Euro Cup,11,5,Albânia x Eslováquia,Não
29/11/2025,Euro Cup,11,8,Espanha x França,Sim
29/11/2025,Euro Cup,12,2,Inglaterra x Sérvia,Não
29/11/2025,Euro Cup,12,5,Itália x Alemanha,Sim
29/11/2025,Euro Cup,12,8,Bélgica x Eslovênia,Sim
29/11/2025,Euro Cup,13,2,Bélgica x Croácia,Não
29/11/2025,Euro Cup,13,5,Dinamarca x Escócia,Sim
29/11/2025,Euro Cup,13,8,Polônia x Eslovênia,Sim
29/11/2025,Euro Cup,14,2,Polônia x Países Baixos,Não
29/11/2025,Euro Cup,14,5,Ucrânia x Alemanha,Sim
29/11/2025,Euro Cup,14,8,Croácia x Eslovênia,Sim
29/11/2025,Euro Cup,15,2,Portugal x França,Sim
29/11/2025,Euro Cup,15,5,Alemanha x Países Baixos,Sim
29/11/2025,Euro Cup,11,2,Alemanha x Sérvia,Não
29/11/2025,Euro Cup,11,5,Albânia x Eslováquia,Não
29/11/2025,Premiere League,12,1,Wolverhampton x Burnley,Sim
29/11/2025,Premiere League,12,3,Watford x Islington,Não
29/11/2025,Premiere League,12,6,Burnley x Chelsea,Não
29/11/2025,Premiere League,12,9,Leicester x Watford,Sim
29/11/2025,Premiere League,12,12,Aston x Everton,Sim
29/11/2025,Premiere League,12,15,Norwich x Palace,Sim
29/11/2025,Premiere League,12,18,Southampton x Brentford,Não
29/11/2025,Premiere League,12,21,Brighton x Burnley,Sim
29/11/2025,Premiere League,12,24,United x Islington,Não
29/11/2025,Premiere League,12,27,Burnley x Leeds,Sim
29/11/2025,Premiere League,12,30,Newcastle x Watford,Não
29/11/2025,Premiere League,12,33,West Ham x Burnley,Sim
29/11/2025,Premiere League,12,36,Aston x Leeds,Sim
29/11/2025,Premiere League,12,39,Watford x Chelsea,Não
29/11/2025,Premiere League,12,42,Brighton x Wolverhampton,Não
29/11/2025,Premiere League,12,45,United x Aston,Sim
29/11/2025,Premiere League,12,48,Brentford x Newcastle,Não
29/11/2025,Premiere League,12,51,Aston x Islington,Não
29/11/2025,Premiere League,12,54,Everton x City,Sim
29/11/2025,Premiere League,12,57,Newcastle x Liverpool,Sim
29/11/2025,Premiere League,13,1,Aston x Burnley,Não
29/11/2025,Premiere League,13,3,Chelsea x West Ham,Não
29/11/2025,Premiere League,13,6,Palace x Norwich,Não
29/11/2025,Premiere League,13,9,Liverpool x City,Sim
29/11/2025,Premiere League,13,12,Chelsea x Brighton,Não
29/11/2025,Premiere League,13,15,Norwich x Leeds,Não
29/11/2025,Premiere League,13,18,Chelsea x Burnley,Não
29/11/2025,Premiere League,13,21,West Ham x Newcastle,Não
29/11/2025,Premiere League,13,24,Tottenham x Watford,Não
29/11/2025,Premiere League,13,27,Wolverhampton x City,Não
29/11/2025,Premiere League,13,30,Leicester x Southampton,Sim
29/11/2025,Premiere League,13,33,Brentford x United,Sim
29/11/2025,Premiere League,13,36,Wolverhampton x Norwich,Não
29/11/2025,Premiere League,13,39,Palace x Leeds,Sim
29/11/2025,Premiere League,13,42,Tottenham x West Ham,Sim
29/11/2025,Premiere League,13,45,Chelsea x Everton,Não
29/11/2025,Premiere League,13,48,Newcastle x Norwich,Sim
29/11/2025,Premiere League,13,51,City x Southampton,Não
29/11/2025,Premiere League,13,54,Brentford x Brighton,Não
29/11/2025,Premiere League,13,57,Newcastle x Aston,Não
29/11/2025,Premiere League,14,1,West Ham x Everton,Não
29/11/2025,Premiere League,14,3,Palace x Brentford,Sim
29/11/2025,Premiere League,14,6,Burnley x Wolverhampton,Sim
29/11/2025,Premiere League,14,9,Brentford x Tottenham,Não
29/11/2025,Premiere League,14,12,Brighton x Newcastle,Sim
29/11/2025,Premiere League,14,15,United x City,Sim
29/11/2025,Premiere League,14,18,Everton x Norwich,Sim
29/11/2025,Premiere League,14,21,Burnley x Brighton,Sim
29/11/2025,Premiere League,14,24,Islington x Brentford,Sim
29/11/2025,Premiere League,14,27,Palace x Wolverhampton,Sim
29/11/2025,Premiere League,14,30,Liverpool x Islington,Não
29/11/2025,Premiere League,14,33,Wolverhampton x Leicester,Não
29/11/2025,Premiere League,14,36,Southampton x City,Sim
29/11/2025,Premiere League,14,39,Leeds x Liverpool,Não
29/11/2025,Premiere League,14,42,Wolverhampton x Watford,Não
29/11/2025,Premiere League,14,45,Islington x Liverpool,Não
29/11/2025,Premiere League,14,48,Wolverhampton x Chelsea,Não
29/11/2025,Premiere League,14,51,Islington x Leeds,Sim
29/11/2025,Premiere League,14,54,West Ham x Tottenham,Não
29/11/2025,Premiere League,14,57,Leeds x Brighton,Não
29/11/2025,Premiere League,15,1,Southampton x Newcastle,Sim
29/11/2025,Premiere League,15,3,West Ham x City,Sim
29/11/2025,Premiere League,15,6,Tottenham x Islington,Sim
29/11/2025,Premiere League,15,9,City x Burnley,Sim
29/11/2025,Premiere League,15,12,Palace x Leicester,Sim
29/11/2025,Premiere League,15,15,Newcastle x Brentford,Não
29/11/2025,Premiere League,15,18,Aston x Southampton,Não
29/11/2025,Premiere League,15,21,Wolverhampton x West Ham,Não
29/11/2025,Premiere League,15,24,Brighton x Leicester,Sim
29/11/2025,Premiere League,15,27,United x Wolverhampton,Não
29/11/2025,Premiere League,15,30,Leeds x Burnley,Não
29/11/2025,Premiere League,15,33,Islington x Newcastle,Sim
29/11/2025,Premiere League,15,36,City x Leicester,Sim
29/11/2025,Premiere League,15,39,Wolverhampton x Liverpool,Não
29/11/2025,Premiere League,15,42,Burnley x Southampton,Sim
29/11/2025,Premiere League,15,45,City x Watford,Sim
29/11/2025,Premiere League,15,48,Newcastle x Chelsea,Sim
29/11/2025,Premiere League,15,51,Watford x Wolverhampton,Sim
29/11/2025,Premiere League,15,57,Islington x United,Não
29/11/2025,Premiere League,16,1,Aston x City,Não
29/11/2025,Premiere League,16,3,Chelsea x Southampton,Sim
29/11/2025,Premiere League,16,6,Tottenham x Newcastle,Não
29/11/2025,Premiere League,16,9,Everton x Liverpool,Sim
29/11/2025,Premiere League,16,18,Wolverhampton x Southampton,Não
29/11/2025,Premiere League,16,21,Newcastle x United,Não
29/11/2025,Premiere League,16,24,Southampton x Leicester,Não
29/11/2025,Premiere League,16,27,Islington x Everton,Não
29/11/2025,Premiere League,16,30,Brentford x Leicester,Sim
29/11/2025,Premiere League,16,33,West Ham x Watford,Não
29/11/2025,Premiere League,16,36,Wolverhampton x Brighton,Sim
29/11/2025,Premiere League,16,39,Islington x Tottenham,Não
29/11/2025,Premiere League,16,42,Leicester x Norwich,Sim
29/11/2025,Premiere League,16,45,Southampton x Brighton,Não
29/11/2025,Premiere League,16,48,Brentford x Islington,Sim
29/11/2025,Premiere League,16,51,City x Norwich,Sim
29/11/2025,Premiere League,16,54,Wolverhampton x Tottenham,Não
29/11/2025,Premiere League,16,57,Liverpool x Brighton,Não
29/11/2025,Premiere League,17,1,Islington x Leicester,Não
29/11/2025,Copa do Mundo,12,1,Camarões x Costa Rica,Sim
29/11/2025,Copa do Mundo,12,4,Austrália x Alemanha,Não
29/11/2025,Copa do Mundo,12,7,México x Arábia Saudita,Sim
29/11/2025,Copa do Mundo,12,10,Uruguai x Bélgica,Não
29/11/2025,Copa do Mundo,12,13,Tunísia x Marrocos,Sim
29/11/2025,Copa do Mundo,12,16,Arábia Saudita x Irã,Sim
29/11/2025,Copa do Mundo,12,19,Tunísia x Uruguai,Sim
29/11/2025,Copa do Mundo,12,22,País de Gales x Irã,Sim
29/11/2025,Copa do Mundo,12,25,Tunísia x Inglaterra,Sim
29/11/2025,Copa do Mundo,12,28,Suíça x Gana,Sim
29/11/2025,Copa do Mundo,12,31,México x Dinamarca,Não
29/11/2025,Copa do Mundo,12,34,Austrália x Espanha,Não
29/11/2025,Copa do Mundo,12,37,Canadá x Uruguai,Sim
29/11/2025,Copa do Mundo,12,40,México x Senegal,Sim
29/11/2025,Copa do Mundo,12,43,Irã x Inglaterra,Não
29/11/2025,Copa do Mundo,12,46,Camarões x Argentina,Não
29/11/2025,Copa do Mundo,12,49,França x Polônia,Sim
29/11/2025,Copa do Mundo,12,52,Senegal x País de Gales,Não
29/11/2025,Copa do Mundo,12,55,Polônia x Suíça,Sim
29/11/2025,Copa do Mundo,12,58,Qatar x Marrocos,Sim
29/11/2025,Copa do Mundo,13,1,Inglaterra x Uruguai,Não
29/11/2025,Copa do Mundo,13,4,Argentina x Japão,Não
29/11/2025,Copa do Mundo,13,7,Canadá x Alemanha,Sim
29/11/2025,Copa do Mundo,13,10,EUA x Sérvia,Não
29/11/2025,Copa do Mundo,13,13,Bélgica x Croácia,Não
29/11/2025,Copa do Mundo,13,16,Marrocos x Austrália,Não
29/11/2025,Copa do Mundo,13,19,Qatar x Uruguai,Sim
29/11/2025,Copa do Mundo,13,22,EUA x Equador,Não
29/11/2025,Copa do Mundo,13,25,Arábia Saudita x Coreia do Sul,Não
29/11/2025,Copa do Mundo,13,28,Equador x Senegal,Sim
29/11/2025,Copa do Mundo,13,31,Inglaterra x País de Gales,Não
29/11/2025,Copa do Mundo,13,34,Suíça x México,Sim
29/11/2025,Copa do Mundo,13,37,Irã x Austrália,Não
29/11/2025,Copa do Mundo,13,40,Brasil x Tunísia,Não
29/11/2025,Copa do Mundo,13,43,Países Baixos x Camarões,Não
29/11/2025,Copa do Mundo,13,46,Austrália x País de Gales,Não
29/11/2025,Copa do Mundo,13,49,Equador x México,Não
29/11/2025,Copa do Mundo,13,52,Japão x Tunísia,Não
29/11/2025,Copa do Mundo,13,55,Gana x México,Sim
29/11/2025,Copa do Mundo,13,58,Dinamarca x Bélgica,Não
29/11/2025,Copa do Mundo,14,1,Arábia Saudita x País de Gales,Sim
29/11/2025,Copa do Mundo,14,4,Irã x Tunísia,Sim
29/11/2025,Copa do Mundo,14,7,Austrália x Países Baixos,Sim
29/11/2025,Copa do Mundo,14,10,Croácia x País de Gales,Não
29/11/2025,Copa do Mundo,14,13,Irã x Equador,Não
29/11/2025,Copa do Mundo,14,16,Marrocos x França,Não
29/11/2025,Copa do Mundo,14,19,Dinamarca x Polônia,Não
29/11/2025,Copa do Mundo,14,22,Senegal x Suíça,Não
29/11/2025,Copa do Mundo,14,25,Qatar x País de Gales,Sim
29/11/2025,Copa do Mundo,14,28,México x Sérvia,Não
29/11/2025,Copa do Mundo,14,31,Países Baixos x Costa Rica,Sim
29/11/2025,Copa do Mundo,14,34,País de Gales x Bélgica,Não
29/11/2025,Copa do Mundo,14,37,França x Países Baixos,Não
29/11/2025,Copa do Mundo,14,40,Polônia x Tunísia,Não
29/11/2025,Copa do Mundo,14,43,Japão x México,Sim
29/11/2025,Copa do Mundo,14,46,Portugal x Gana,Não
29/11/2025,Copa do Mundo,14,49,Tunísia x Arábia Saudita,Não
29/11/2025,Copa do Mundo,14,52,Qatar x Equador,Não
29/11/2025,Copa do Mundo,14,55,Coreia do Sul x Gana,Não
29/11/2025,Copa do Mundo,14,58,Argentina x Polônia,Não
29/11/2025,Copa do Mundo,15,1,Austrália x Portugal,Sim
29/11/2025,Copa do Mundo,15,4,França x Bélgica,Não
29/11/2025,Copa do Mundo,15,7,Arábia Saudita x Equador,Sim
29/11/2025,Copa do Mundo,15,10,México x Suíça,Não
29/11/2025,Copa do Mundo,15,13,Polônia x Marrocos,Sim
29/11/2025,Copa do Mundo,15,16,Suíça x Austrália,Não
29/11/2025,Copa do Mundo,15,19,Arábia Saudita x Inglaterra,Não
29/11/2025,Copa do Mundo,15,22,Espanha x Dinamarca,Não
29/11/2025,Copa do Mundo,15,25,Costa Rica x Japão,Não
29/11/2025,Copa do Mundo,15,28,Espanha x Uruguai,Não
29/11/2025,Copa do Mundo,15,31,Polônia x Argentina,Sim
29/11/2025,Copa do Mundo,15,34,Alemanha x Gana,Sim
29/11/2025,Copa do Mundo,15,37,Bélgica x Brasil,Não
29/11/2025,Copa do Mundo,15,40,Polônia x Irã,Sim
29/11/2025,Copa do Mundo,15,43,Sérvia x Marrocos,Sim
29/11/2025,Copa do Mundo,15,46,Japão x Bélgica,Não
29/11/2025,Copa do Mundo,15,49,Marrocos x Camarões,Sim
29/11/2025,Copa do Mundo,15,52,México x França,Sim
29/11/2025,Copa do Mundo,15,55,Gana x Equador,Sim
29/11/2025,Copa do Mundo,15,58,Tunísia x Espanha,Não
29/11/2025,Copa do Mundo,16,1,Sérvia x Arábia Saudita,Sim
29/11/2025,Copa do Mundo,16,4,Bélgica x Marrocos,Não
29/11/2025,Copa do Mundo,16,7,Inglaterra x Tunísia,Não
29/11/2025,Copa do Mundo,16,10,Qatar x Croácia,Sim
29/11/2025,Copa do Mundo,16,13,Portugal x Irã,Sim
29/11/2025,Copa do Mundo,16,16,EUA x Dinamarca,Sim
29/11/2025,Copa do Mundo,16,19,País de Gales x Camarões,Não
29/11/2025,Copa do Mundo,16,22,Japão x Qatar,Sim
29/11/2025,Copa do Mundo,16,25,Portugal x Argentina,Não
29/11/2025,Copa do Mundo,16,28,Arábia Saudita x Espanha,Sim
29/11/2025,Copa do Mundo,16,31,EUA x Gana,Não
29/11/2025,Copa do Mundo,16,34,Qatar x Espanha,Sim
29/11/2025,Copa do Mundo,16,37,Irã x Portugal,Não
29/11/2025,Copa do Mundo,16,40,Marrocos x Coreia do Sul,Sim
29/11/2025,Copa do Mundo,16,43,País de Gales x Costa Rica,Não
29/11/2025,Copa do Mundo,16,46,Japão x Alemanha,Sim
29/11/2025,Copa do Mundo,16,49,Tunísia x Sérvia,Sim
29/11/2025,Copa do Mundo,16,52,Países Baixos x Canadá,Não
29/11/2025,Copa do Mundo,16,55,França x Espanha,Não
29/11/2025,Copa do Mundo,16,58,Portugal x Canadá,Não
29/11/2025,Copa do Mundo,17,1,Camarões x Uruguai,Sim
29/11/2025,Copa do Mundo,17,4,Japão x Costa Rica,Sim
29/11/2025,Copa do Mundo,17,7,Brasil x Irã,Sim
29/11/2025,Copa do Mundo,17,10,Inglaterra x Argentina,Sim
29/11/2025,Copa do Mundo,17,13,Gana x Bélgica,Sim
29/11/2025,Copa do Mundo,17,16,Espanha x Arábia Saudita,Não
29/11/2025,Euro Cup,12,2,Inglaterra x Sérvia,Não
29/11/2025,Euro Cup,12,5,Itália x Alemanha,Sim
29/11/2025,Euro Cup,12,8,Bélgica x Eslovênia,Sim
29/11/2025,Euro Cup,13,2,Bélgica x Croácia,Não
29/11/2025,Euro Cup,13,5,Dinamarca x Escócia,Sim
29/11/2025,Euro Cup,13,8,Polônia x Eslovênia,Sim
29/11/2025,Euro Cup,14,2,Polônia x Países Baixos,Não
29/11/2025,Euro Cup,14,5,Ucrânia x Alemanha,Sim
29/11/2025,Euro Cup,14,8,Croácia x Eslovênia,Sim
29/11/2025,Euro Cup,15,2,Portugal x França,Sim
29/11/2025,Euro Cup,15,5,Alemanha x Países Baixos,Sim
29/11/2025,Euro Cup,15,8,Eslovênia x Albânia,Sim
29/11/2025,Euro Cup,16,2,Bélgica x Ucrânia,Sim
29/11/2025,Euro Cup,16,5,Áustria x República Tcheca,Sim
29/11/2025,Euro Cup,16,8,Turquia x Inglaterra,Sim
29/11/2025,Euro Cup,16,50,Albânia x Países Baixos,Sim
29/11/2025,Euro Cup,16,53,Romênia x Escócia,Não
29/11/2025,Euro Cup,16,56,Albânia x Sérvia,Não
29/11/2025,Euro Cup,16,59,Países Baixos x República Tcheca,Não
29/11/2025,Euro Cup,17,2,Suíça x Turquia,Sim
29/11/2025,Euro Cup,17,5,Inglaterra x Escócia,Não
29/11/2025,Euro Cup,17,8,Espanha x República Tcheca,Sim
29/11/2025,Euro Cup,17,11,Inglaterra x Portugal,Não
29/11/2025,Euro Cup,17,14,Ucrânia x Espanha,Sim
29/11/2025,Euro Cup,17,17,Dinamarca x França,Não
29/11/2025,Euro Cup,17,20,Romênia x Polônia,Sim
29/11/2025,Euro Cup,17,23,Sérvia x República Tcheca,Sim
29/11/2025,Euro Cup,17,26,Alemanha x Albânia,Sim
29/11/2025,Euro Cup,17,29,Países Baixos x Geórgia,Não
29/11/2025,Premiere League,12,1,Wolverhampton x Burnley,Sim
29/11/2025,Premiere League,12,3,Watford x Islington,Não
29/11/2025,Premiere League,12,6,Burnley x Chelsea,Não
29/11/2025,Premiere League,12,9,Leicester x Watford,Sim
29/11/2025,Premiere League,13,1,Aston x Burnley,Não
29/11/2025,Premiere League,13,3,Chelsea x West Ham,Não
29/11/2025,Premiere League,13,6,Palace x Norwich,Não
29/11/2025,Premiere League,13,9,Liverpool x City,Sim
29/11/2025,Premiere League,14,1,West Ham x Everton,Não
29/11/2025,Premiere League,14,3,Palace x Brentford,Sim
29/11/2025,Premiere League,14,6,Burnley x Wolverhampton,Sim
29/11/2025,Premiere League,14,9,Brentford x Tottenham,Não
29/11/2025,Premiere League,15,1,Southampton x Newcastle,Sim
29/11/2025,Premiere League,15,3,West Ham x City,Sim
29/11/2025,Premiere League,15,6,Tottenham x Islington,Sim
29/11/2025,Premiere League,15,9,City x Burnley,Sim
29/11/2025,Premiere League,15,54,Burnley x Liverpool,Sim
29/11/2025,Premiere League,16,1,Aston x City,Não
29/11/2025,Premiere League,16,3,Chelsea x Southampton,Sim
29/11/2025,Premiere League,16,6,Tottenham x Newcastle,Não
29/11/2025,Premiere League,16,9,Everton x Liverpool,Sim
29/11/2025,Premiere League,16,12,Watford x Burnley,Não
29/11/2025,Premiere League,16,15,City x Brentford,Sim
29/11/2025,Premiere League,17,1,Islington x Leicester,Não
29/11/2025,Premiere League,17,3,Liverpool x Watford,Sim
29/11/2025,Premiere League,17,6,City x West Ham,Não
29/11/2025,Premiere League,17,9,Newcastle x Brighton,Não
29/11/2025,Premiere League,17,12,Leeds x West Ham,Sim
29/11/2025,Premiere League,17,15,Burnley x Watford,Não
